location,total_sqft,bathroom,price,bhk
Battarahalli,1779.0,3.0,90.0,3
Whitefield,1697.0,3.0,108.0,3
Electronic City,1039.0,2.0,50.0,2
Electronic City Phase II,1000.0,2.0,28.88,2
Hoskote,1395.0,2.0,63.0,3
Frazer Town,1420.0,2.0,120.0,2
Sarjapur  Road,1691.0,3.0,100.0,3
6th Phase JP Nagar,1515.0,2.0,135.0,3
Varthur,1155.0,2.0,39.0,2
other,660.0,2.0,76.0,2
Ramagondanahalli,1295.0,2.0,95.0,2
Hennur Road,1590.0,3.0,96.5,3
other,1293.0,2.0,80.0,2
Vittasandra,1246.0,2.0,67.5,2
Raja Rajeshwari Nagar,1580.0,3.0,83.74,3
Gottigere,1100.0,2.0,40.0,2
Bannerghatta Road,1711.0,3.0,125.0,3
Electronic City Phase II,1305.0,3.0,65.0,3
Magadi Road,1000.0,2.0,46.5,2
5th Phase JP Nagar,1000.0,2.0,48.0,2
